hour;h_load_kw
1;169.251966666667
2;167.977566666667
3;154.774566666667
4;135.080766666667
5;120.954366666667
6;112.487166666667
7;108.442566666667
8;107.610966666667
9;109.668366666667
10;114.771366666667
11;126.618966666667
12;144.590166666667
13;150.400566666667
14;153.953766666667
15;157.101966666667
16;159.186366666667
17;160.498566666667
18;161.189766666667
19;162.307566666667
20;163.668366666667
21;165.164166666667
22;166.665366666667
23;167.232366666667
24;167.772366666667
25;168.479766666667
26;167.783166666667
27;155.768166666667
28;140.793966666667
29;130.793166666667
30;125.463366666667
31;123.319566666667
32;123.729966666667
33;125.376966666667
34;129.048966666667
35;137.769966666667
36;152.700966666667
37;158.948766666667
38;163.511766666667
39;167.118966666667
40;169.727166666667
41;171.573966666667
42;172.864566666667
43;174.133566666667
44;175.537566666667
45;176.595966666667
46;177.891966666667
47;178.869366666667
48;179.387766666667
49;179.954766666667
50;178.944966666667
51;165.687966666667
52;148.915566666667
53;136.662966666667
54;129.059766666667
55;124.572366666667
56;123.341166666667
57;125.209566666667
58;130.031766666667
59;139.659966666667
60;157.037166666667
61;162.302166666667
62;165.072366666667
63;168.900966666667
64;172.140966666667
65;174.803166666667
66;176.784966666667
67;178.113366666667
68;179.349966666667
69;180.440766666667
70;181.450566666667
71;181.990566666667
72;182.670966666667
73;183.443166666667
74;181.936566666667
75;165.606966666667
76;145.988766666667
77;131.559966666667
78;121.488966666667
79;115.165566666667
80;112.838166666667
81;114.215166666667
82;119.642166666667
83;131.306166666667
84;146.890566666667
85;150.681366666667
86;154.396566666667
87;158.057766666667
88;160.287966666667
89;161.378766666667
90;162.059166666667
91;162.361566666667
92;162.977166666667
93;163.630566666667
94;163.965366666667
95;164.321766666667
96;165.293766666667
97;165.849966666667
98;164.343366666667
99;151.869366666667
100;136.387566666667
101;126.575766666667
102;120.408966666667
103;116.877366666667
104;116.040366666667
105;117.627966666667
106;121.980366666667
107;131.570766666667
108;146.139966666667
109;150.999966666667
110;155.147166666667
111;159.423966666667
112;162.685566666667
113;165.293766666667
114;167.113566666667
115;168.333966666667
116;169.462566666667
117;170.148366666667
118;170.747766666667
119;170.855766666667
120;170.628966666667
121;171.033966666667
122;169.835166666667
123;156.686166666667
124;140.939766666667
125;130.128966666667
126;123.238566666667
127;118.956366666667
128;117.665766666667
129;119.269566666667
130;123.692166666667
131;133.163766666667
132;146.679966666667
133;151.696566666667
134;156.081366666667
135;160.811766666667
136;163.430766666667
137;165.482766666667
138;167.000166666667
139;168.204366666667
140;168.744366666667
141;168.933366666667
142;168.960366666667
143;169.138566666667
144;169.689366666667
145;170.288766666667
146;169.516566666667
147;158.230566666667
148;146.156166666667
149;137.867166666667
150;132.899166666667
151;130.339566666667
152;130.436766666667
153;132.159366666667
154;135.464166666667
155;142.041366666667
156;154.423566666667
157;160.719966666667
158;164.499966666667
159;168.247566666667
160;170.385966666667
161;171.492966666667
162;172.437966666667
163;173.269566666667
164;173.841966666667
165;174.349566666667
166;175.731966666667
167;177.508566666667
168;178.912566666667
169;180.224766666667
170;179.025966666667
171;161.535366666667
172;140.858766666667
173;125.333766666667
174;116.812566666667
175;111.979566666667
176;110.780766666667
177;113.005566666667
178;117.941166666667
179;127.191366666667
180;145.092366666667
181;151.426566666667
182;155.147166666667
183;158.268366666667
184;160.152966666667
185;161.249166666667
186;161.913366666667
187;162.561366666667
188;163.263366666667
189;164.235366666667
190;165.331566666667
191;166.514166666667
192;167.815566666667
193;169.143966666667
194;167.977566666667
195;154.531566666667
196;139.838166666667
197;129.799566666667
198;123.351966666667
199;119.771766666667
200;118.815966666667
201;120.457566666667
202;124.934166666667
203;133.368966666667
204;150.249366666667
205;156.205566666667
206;158.408766666667
207;161.913366666667
208;165.104766666667
209;167.383566666667
210;168.987366666667
211;169.737966666667
212;170.499366666667
213;171.379566666667
214;172.389366666667
215;173.620566666667
216;174.511566666667
217;175.375566666667
218;173.820366666667
219;158.354766666667
220;139.708566666667
221;125.987166666667
222;117.892566666667
223;113.966766666667
224;113.221566666667
225;115.419366666667
226;120.117366666667
227;130.010166666667
228;146.939166666667
229;151.728966666667
230;153.861966666667
231;156.804966666667
232;159.585966666667
233;161.675766666667
234;163.311966666667
235;164.694366666667
236;165.660966666667
237;165.990366666667
238;166.422366666667
239;166.713966666667
240;167.745366666667
241;169.268166666667
242;168.906366666667
243;156.561966666667
244;141.252966666667
245;130.501566666667
246;124.102566666667
247;120.673566666667
248;120.160566666667
249;121.974966666667
250;126.635166666667
251;135.696366666667
252;150.573366666667
253;155.865366666667
254;159.369966666667
255;163.025766666667
256;166.092966666667
257;168.101766666667
258;169.716366666667
259;171.087966666667
260;171.978966666667
261;172.562166666667
262;172.621566666667
263;172.832166666667
264;173.150766666667
265;173.485566666667
266;171.773766666667
267;157.015566666667
268;138.439566666667
269;125.765766666667
270;118.211166666667
271;114.620166666667
272;113.750766666667
273;115.538166666667
274;120.295566666667
275;130.474566666667
276;147.095766666667
277;152.603766666667
278;155.892366666667
279;159.024366666667
280;162.496566666667
281;165.099366666667
282;166.935366666667
283;168.117966666667
284;168.954966666667
285;169.511166666667
286;169.565166666667
287;169.046766666667
288;169.176366666667
289;169.629966666667
290;167.685966666667
291;154.509966666667
292;139.314366666667
293;129.129966666667
294;122.471766666667
295;118.124766666667
296;116.726166666667
297;117.914166666667
298;122.158566666667
299;131.743566666667
300;147.430566666667
301;153.289566666667
302;158.106366666667
303;162.437166666667
304;165.725766666667
305;168.533766666667
306;170.672166666667
307;171.978966666667
308;173.026566666667
309;174.117366666667
310;175.224366666667
311;175.586166666667
312;175.769766666667
313;176.207166666667
314;174.543966666667
315;157.987566666667
316;139.568166666667
317;127.569366666667
318;119.917566666667
319;115.511166666667
320;114.225966666667
321;115.797366666667
322;119.906766666667
323;128.827566666667
324;149.001966666667
325;156.308166666667
326;159.926166666667
327;163.619766666667
328;166.832766666667
329;169.030566666667
330;170.839566666667
331;172.605366666667
332;174.894966666667
333;177.265566666667
334;180.089766666667
335;182.886966666667
336;185.414166666667
337;187.638966666667
338;185.316966666667
339;163.619766666667
340;141.879366666667
341;123.405966666667
342;111.790566666667
343;105.634566666667
344;103.658166666667
345;105.191766666667
346;110.661966666667
347;122.536566666667
348;143.099766666667
349;148.310766666667
350;151.588566666667
351;153.824166666667
352;156.005766666667
353;157.566366666667
354;158.338566666667
355;158.986566666667
356;160.044966666667
357;161.540766666667
358;162.393966666667
359;162.707166666667
360;163.198566666667
361;162.798966666667
362;160.822566666667
363;148.845366666667
364;133.487766666667
365;120.786966666667
366;112.206366666667
367;107.157366666667
368;104.900166666667
369;106.001766666667
370;110.678166666667
371;122.001966666667
372;139.589766666667
373;144.622566666667
374;146.863566666667
375;147.857166666667
376;149.401566666667
377;150.686766666667
378;152.133966666667
379;153.732366666667
380;155.568366666667
381;157.879566666667
382;158.970366666667
383;159.548166666667
384;160.476966666667
385;161.513766666667
386;159.639966666667
387;146.863566666667
388;131.246766666667
389;120.689766666667
390;114.468966666667
