Hours;load_kw
1;13.3
2;13.3
3;13.3
4;13.3
5;2.5
6;5.024
7;10.724
8;14.624
9;11.224
10;6.224
11;6.224
12;8.024
13;6.224
14;6.474
15;6.474
16;4.074
17;4.274
18;46.394
19;46.214
20;51.514
21;51.074
22;52.824
23;7.524
24;2.524
25;13.3
26;13.3
27;13.3
28;13.3
29;2.5
30;5.024
31;10.724
32;14.624
33;11.224
34;6.224
35;6.224
36;8.024
37;6.224
38;6.474
39;6.474
40;4.074
41;4.274
42;46.394
43;46.214
44;51.514
45;51.074
46;52.824
47;7.524
48;2.524
49;13.3
50;13.3
51;13.3
52;13.3
53;2.5
54;5.024
55;10.724
56;14.624
57;11.224
58;6.224
59;6.224
60;8.024
61;6.224
62;6.474
63;6.474
64;4.074
65;4.274
66;46.394
67;46.214
68;51.514
69;51.074
70;52.824
71;7.524
72;2.524
73;13.3
74;13.3
75;13.3
76;13.3
77;2.5
78;5.024
79;10.724
80;14.624
81;11.224
82;6.224
83;6.224
84;8.024
85;6.224
86;6.474
87;6.474
88;4.074
89;4.274
90;46.394
91;46.214
92;51.514
93;51.074
94;52.824
95;7.524
96;2.524
97;13.3
98;13.3
99;13.3
100;13.3
101;2.5
102;5.024
103;10.724
104;14.624
105;11.224
106;6.224
107;6.224
108;8.024
109;6.224
110;6.474
111;6.474
112;4.074
113;4.274
114;46.394
115;46.214
116;51.514
117;51.074
118;52.824
119;7.524
120;2.524
121;13.3
122;13.3
123;13.3
124;13.3
125;2.5
126;5.024
127;10.724
128;14.624
129;9.604
130;4.604
131;4.604
132;6.404
133;4.604
134;4.854
135;4.854
136;4.074
137;4.274
138;1.394
139;46.214
140;51.214
141;51.074
142;52.824
143;52.824
144;2.524
145;13.3
146;13.3
147;13.3
148;13.3
149;2.5
150;5.024
151;10.724
152;14.624
153;9.604
154;4.604
155;4.604
156;6.404
157;4.604
158;4.854
159;4.854
160;4.074
161;4.274
162;1.394
163;46.214
164;51.214
165;51.074
166;52.824
167;52.824
168;2.524
169;13.3
170;13.3
171;13.3
172;13.3
173;2.5
174;5.024
175;10.724
176;14.624
177;11.224
178;6.224
179;6.224
180;8.024
181;6.224
182;6.474
183;6.474
184;4.074
185;4.274
186;46.394
187;46.214
188;51.514
189;51.074
190;52.824
191;7.524
192;2.524
193;13.3
194;13.3
195;13.3
196;13.3
197;2.5
198;5.024
199;10.724
200;14.624
201;11.224
202;6.224
203;6.224
204;8.024
205;6.224
206;6.474
207;6.474
208;4.074
209;4.274
210;46.394
211;46.214
212;51.514
213;51.074
214;52.824
215;7.524
216;2.524
217;13.3
218;13.3
219;13.3
220;13.3
221;2.5
222;5.024
223;10.724
224;14.624
225;11.224
226;6.224
227;6.224
228;8.024
229;6.224
230;6.474
231;6.474
232;4.074
233;4.274
234;46.394
235;46.214
236;51.514
237;51.074
238;52.824
239;7.524
240;2.524
241;13.3
242;13.3
243;13.3
244;13.3
245;2.5
246;5.024
247;10.724
248;14.624
249;11.224
250;6.224
251;6.224
252;8.024
253;6.224
254;6.474
255;6.474
256;4.074
257;4.274
258;46.394
259;46.214
260;51.514
261;51.074
262;52.824
263;7.524
264;2.524
265;13.3
266;13.3
267;13.3
268;13.3
269;2.5
270;5.024
271;10.724
272;14.624
273;11.224
274;6.224
275;6.224
276;8.024
277;6.224
278;6.474
279;6.474
280;4.074
281;4.274
282;46.394
283;46.214
284;51.514
285;51.074
286;52.824
287;7.524
288;2.524
289;13.3
290;13.3
291;13.3
292;13.3
293;2.5
294;5.024
295;10.724
296;14.624
297;9.604
298;4.604
299;4.604
300;6.404
301;4.604
302;4.854
303;4.854
304;4.074
305;4.274
306;1.394
307;46.214
308;51.214
309;51.074
310;52.824
311;52.824
312;2.524
313;13.3
314;13.3
315;13.3
316;13.3
317;2.5
318;5.024
319;10.724
320;14.624
321;9.604
322;4.604
323;4.604
324;6.404
325;4.604
326;4.854
327;4.854
328;4.074
329;4.274
330;1.394
331;46.214
332;51.214
333;51.074
334;52.824
335;52.824
336;2.524
337;13.3
338;13.3
339;13.3
340;13.3
341;2.5
342;5.024
343;10.724
344;14.624
345;11.224
346;6.224
347;6.224
348;8.024
349;6.224
350;6.474
351;6.474
352;4.074
353;4.274
354;46.394
355;46.214
356;51.514
357;51.074
358;52.824
359;7.524
360;2.524
361;13.3
362;13.3
363;13.3
364;13.3
365;2.5
366;5.024
367;10.724
368;14.624
369;11.224
370;6.224
371;6.224
372;8.024
373;6.224
374;6.474
375;6.474
376;4.074
377;4.274
378;46.394
379;46.214
380;51.514
381;51.074
382;52.824
383;7.524
384;2.524
385;13.3
386;13.3
387;13.3
388;13.3
389;2.5
390;5.024
391;10.724
392;14.624
393;11.224
394;6.224
395;6.224
396;8.024
397;6.224
398;6.474
399;6.474
400;4.074
401;4.274
402;46.394
403;46.214
404;51.514
405;51.074
406;52.824
407;7.524
408;2.524
409;13.3
410;13.3
411;13.3
412;13.3
413;2.5
414;5.024
415;10.724
416;14.624
417;11.224
418;6.224
419;6.224
420;8.024
421;6.224
422;6.474
423;6.474
424;4.074
425;4.274
426;46.394
427;46.214
428;51.514
429;51.074
430;52.824
431;7.524
432;2.524
433;13.3
434;13.3
435;13.3
436;13.3
437;2.5
438;5.024
439;10.724
440;14.624
441;11.224
442;6.224
443;6.224
444;8.024
445;6.224
446;6.474
447;6.474
448;4.074
449;4.274
450;46.394
451;46.214
452;51.514
453;51.074
454;52.824
455;7.524
456;2.524
457;13.3
458;13.3
459;13.3
460;13.3
461;2.5
462;5.024
463;10.724
464;14.624
465;9.604
466;4.604
467;4.604
468;6.404
469;4.604
470;4.854
471;4.854
472;4.074
473;4.274
474;1.394
475;46.214
476;51.214
477;51.074
478;52.824
479;52.824
480;2.524
481;13.3
482;13.3
483;13.3
484;13.3
485;2.5
486;5.024
487;10.724
488;14.624
489;9.604
490;4.604
491;4.604
492;6.404
493;4.604
494;4.854
495;4.854
496;4.074
497;4.274
498;1.394
499;46.214
500;51.214
501;51.074
502;52.824
503;52.824
504;2.524
505;13.3
506;13.3
507;13.3
508;13.3
509;2.5
510;5.024
511;10.724
512;14.624
513;11.224
514;6.224
515;6.224
516;8.024
517;6.224
518;6.474
519;6.474
520;4.074
521;4.274
522;46.394
523;46.214
524;51.514
525;51.074
526;52.824
527;7.524
528;2.524
529;13.3
530;13.3
531;13.3
532;13.3
533;2.5
534;5.024
535;10.724
536;14.624
537;11.224
538;6.224
539;6.224
540;8.024
541;6.224
542;6.474
543;6.474
544;4.074
545;4.274
546;46.394
547;46.214
548;51.514
549;51.074
550;52.824
551;7.524
552;2.524
553;13.3
554;13.3
555;13.3
556;13.3
557;2.5
558;5.024
559;10.724
560;14.624
561;11.224
562;6.224
563;6.224
564;8.024
565;6.224
566;6.474
567;6.474
568;4.074
569;4.274
570;46.394
571;46.214
572;51.514
573;51.074
574;52.824
575;7.524
576;2.524
577;13.3
578;13.3
579;13.3
580;13.3
581;2.5
582;5.024
583;10.724
584;14.624
585;11.224
586;6.224
587;6.224
588;8.024
589;6.224
590;6.474
591;6.474
592;4.074
593;4.274
594;46.394
595;46.214
596;51.514
