hour;wind_capacity_factor
1;0
2;0
3;0
4;0
5;0.022
6;0.005
7;0.002
8;0.002
9;0.014
10;0.012
11;0.083
12;0.003
13;0
14;0
15;0.001
16;0.002
17;0.003
18;0.002
19;0.002
20;0.002
21;0.002
22;0.001
23;0.001
24;0
25;0.001
26;0
27;0
28;0
29;0.001
30;0.003
31;0.017
32;0.155
33;0.446
34;0.317
35;0.055
36;0
37;0.001
38;0.002
39;0.005
40;0.006
41;0.006
42;0.005
43;0.003
44;0.003
45;0.005
46;0.006
47;0.005
48;0.003
49;0.002
50;0.001
51;0
52;0.001
53;0.081
54;0.15
55;0.399
56;0.968
57;1.484
58;1.531
59;0.63
60;0.071
61;0.007
62;0
63;0
64;0.001
65;0.002
66;0.002
67;0.002
68;0.001
69;0
70;0.001
71;0.002
72;0.003
73;0.002
74;0.002
75;0.001
76;0.008
77;0.351
78;0.782
79;1.154
80;1.088
81;0.877
82;0.55
83;0.326
84;0.007
85;0
86;0
87;0
88;0.001
89;0.001
90;0.004
91;0.004
92;0.003
93;0.002
94;0.001
95;0.002
96;0
97;0
98;0
99;0
100;0
101;0.002
102;0.006
103;0.019
104;0.094
105;0.176
106;0.173
107;0.11
108;0.003
109;0
110;0
111;0.002
112;0.006
113;0.009
114;0.009
115;0.013
116;0.021
117;0.025
118;0.027
119;0.021
120;0.015
121;0.01
122;0.007
123;0.001
124;0
125;0
126;0
127;0.008
128;0.189
129;0.649
130;1.419
131;0.396
132;0.029
133;0
134;0.001
135;0.013
136;0.026
137;0.038
138;0.058
139;0.092
140;0.107
141;0.059
142;0.009
143;0.006
144;0.01
145;0.021
146;0.034
147;0.067
148;0.247
149;0.079
150;0.137
151;0.224
152;0.475
153;0.849
154;0.457
155;0.236
156;0.055
157;0.044
158;0.029
159;0.035
160;0.014
161;0.002
162;0.001
163;0.001
164;0.002
165;0.002
166;0.002
167;0.004
168;0.004
169;0.008
170;0.016
171;0.014
172;0
173;0
174;0
175;0.131
176;0.357
177;0.542
178;0.777
179;0.769
180;0.097
181;0.003
182;0.002
183;0.004
184;0.003
185;0.002
186;0.001
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0.001
195;0
196;0
197;0.009
198;0.071
199;0.332
